timestamp(ms),ECG_comp,Detetcted R wave,ECG_amp,
"1742240420.184",,"0",,
"1742240420.186",,,"2.12",
"1742240420.188","0",,,
"1742240420.189",,"0",,
"1742240420.191",,,"2.14",
"1742240420.193","0",,,
"1742240420.195",,"0",,
"1742240420.196",,,"2.18",
"1742240420.198","0",,,
"1742240420.2",,"0",,
"1742240420.201",,,"2.21",
"1742240420.202","0",,,
"1742240420.204",,"0",,
"1742240420.205",,,"2.25",
"1742240420.207","0",,,
"1742240420.209",,"0",,
"1742240420.211",,,"2.28",
"1742240420.212","0",,,
"1742240420.214",,"0",,
"1742240420.216",,,"2.29",
"1742240420.217","0",,,
"1742240420.219",,"0",,
"1742240420.221",,,"2.3",
"1742240420.222","0",,,
"1742240420.224",,"0",,
"1742240420.226",,,"2.3",
"1742240420.227","0",,,
"1742240420.229",,"0",,
"1742240420.231",,,"2.3",
"1742240420.232","0",,,
"1742240420.234",,"0",,
"1742240420.236",,,"2.31",
"1742240420.237","0",,,
"1742240420.239",,"0",,
"1742240420.241",,,"2.3",
"1742240420.242","0",,,
"1742240420.244",,"0",,
"1742240420.245",,,"2.3",
"1742240420.247","0",,,
"1742240420.249",,"0",,
"1742240420.25",,,"2.3",
"1742240420.252","0",,,
"1742240420.253",,"0",,
"1742240420.255",,,"2.32",
"1742240420.257","0",,,
"1742240420.259",,"0",,
"1742240420.26",,,"2.32",
"1742240420.262","0",,,
"1742240420.264",,"0",,
"1742240420.266",,,"2.31",
"1742240420.267","0",,,
"1742240420.269",,"0",,
"1742240420.271",,,"2.34",
"1742240420.272","0",,,
"1742240420.274",,"0",,
"1742240420.276",,,"2.34",
"1742240420.277","0",,,
"1742240420.279",,"0",,
"1742240420.281",,,"2.34",
"1742240420.282","0",,,
"1742240420.284",,"0",,
"1742240420.285",,,"2.36",
"1742240420.287","0",,,
"1742240420.289",,"0",,
"1742240420.29",,,"2.37",
"1742240420.291","0",,,
"1742240420.293",,"0",,
"1742240420.295",,,"2.38",
"1742240420.296","0",,,
"1742240420.298",,"0",,
"1742240420.3",,,"2.39",
"1742240420.302","0",,,
"1742240420.304",,"0",,
"1742240420.305",,,"2.38",
"1742240420.307","0",,,
"1742240420.308",,"0",,
"1742240420.31",,,"2.41",
"1742240420.312","0",,,
"1742240420.314",,"0",,
"1742240420.315",,,"2.43",
"1742240420.317","0",,,
"1742240420.319",,"0",,
"1742240420.32",,,"2.44",
"1742240420.322","0",,,
"1742240420.324",,"0",,
"1742240420.326",,,"2.45",
"1742240420.327","0",,,
"1742240420.329",,"0",,
"1742240420.33",,,"2.46",
"1742240420.331","0",,,
"1742240420.333",,"0",,
"1742240420.335",,,"2.48",
"1742240420.336","0",,,
"1742240420.338",,"0",,
"1742240420.34",,,"2.49",
"1742240420.341","0",,,
"1742240420.343",,"0",,
"1742240420.345",,,"2.49",
"1742240420.346","0",,,
"1742240420.348",,"0",,
"1742240420.35",,,"2.51",
"1742240420.351","0",,,
"1742240420.353",,"0",,
"1742240420.355",,,"2.52",
"1742240420.357","0",,,
"1742240420.358",,"0",,
"1742240420.36",,,"2.52",
"1742240420.362","0",,,
"1742240420.363",,"0",,
"1742240420.365",,,"2.51",
"1742240420.367","0",,,
"1742240420.369",,"0",,
"1742240420.37",,,"2.51",
"1742240420.372","0",,,
"1742240420.374",,"0",,
"1742240420.376",,,"2.5",
"1742240420.377","0",,,
"1742240420.379",,"0",,
"1742240420.381",,,"2.48",
"1742240420.382","0",,,
"1742240420.384",,"0",,
"1742240420.386",,,"2.46",
"1742240420.387","0",,,
"1742240420.389",,"0",,
"1742240420.391",,,"2.44",
"1742240420.392","0",,,
"1742240420.394",,"0",,
"1742240420.396",,,"2.41",
"1742240420.397","0",,,
"1742240420.399",,"0",,
"1742240420.401",,,"2.38",
"1742240420.402","0",,,
"1742240420.404",,"0",,
"1742240420.406",,,"2.36",
"1742240420.407","0",,,
"1742240420.409",,"0",,
"1742240420.411",,,"2.31",
"1742240420.413","0",,,
"1742240420.414",,"0",,
"1742240420.416",,,"2.3",
"1742240420.417","0",,,
"1742240420.419",,"0",,
"1742240420.42",,,"2.26",
"1742240420.422","0",,,
"1742240420.424",,"0",,
"1742240420.425",,,"2.24",
"1742240420.427","0",,,
"1742240420.429",,"0",,
"1742240420.43",,,"2.21",
"1742240420.432","0",,,
"1742240420.434",,"0",,
"1742240420.436",,,"2.19",
"1742240420.437","0",,,
"1742240420.439",,"0",,
"1742240420.441",,,"2.17",
"1742240420.442","0",,,
"1742240420.444",,"0",,
"1742240420.446",,,"2.16",
"1742240420.447","0",,,
"1742240420.449",,"0",,
"1742240420.451",,,"2.15",
"1742240420.452","0",,,
"1742240420.454",,"0",,
"1742240420.455",,,"2.14",
"1742240420.46","0","0","2.13",
"1742240420.462","0",,,
"1742240420.463",,"0",,
"1742240420.465",,,"2.13",
"1742240420.467","0",,,
"1742240420.468",,"0",,
"1742240420.47",,,"2.11",
"1742240420.472","0",,,
"1742240420.473",,"0",,
"1742240420.475",,,"2.11",
"1742240420.477","0",,,
"1742240420.479",,"0",,
"1742240420.48",,,"2.11",
"1742240420.482","0",,,
"1742240420.484",,"0",,
"1742240420.486",,,"2.11",
"1742240420.487","0",,,
"1742240420.489",,"0",,
"1742240420.491",,,"2.11",
"1742240420.492","0",,,
"1742240420.494",,"0",,
"1742240420.496",,,"2.11",
"1742240420.497","0",,,
"1742240420.499",,"0",,
"1742240420.5",,,"2.1",
"1742240420.502","0",,,
"1742240420.503",,"0",,
"1742240420.505",,,"2.1",
"1742240420.506","0",,,
"1742240420.508",,"0",,
"1742240420.51",,,"2.11",
"1742240420.511","0",,,
"1742240420.513",,"0",,
"1742240420.515",,,"2.12",
"1742240420.516","0",,,
"1742240420.518",,"0",,
"1742240420.52",,,"2.12",
"1742240420.521","0",,,
"1742240420.523",,"0",,
"1742240420.525",,,"2.12",
"1742240420.527","0",,,
"1742240420.528",,"0",,
"1742240420.53",,,"2.12",
"1742240420.532","0",,,
"1742240420.533",,"0",,
"1742240420.535",,,"2.12",
"1742240420.537","0",,,
"1742240420.539",,"0",,
"1742240420.54",,,"2.12",
"1742240420.541","0",,,
"1742240420.543",,"0",,
"1742240420.545",,,"2.12",
"1742240420.546","0",,,
"1742240420.548",,"0",,
"1742240420.55",,,"2.13",
"1742240420.551","0",,,
"1742240420.553",,"0",,
"1742240420.555",,,"2.13",
"1742240420.556","0",,,
"1742240420.558",,"0",,
"1742240420.56",,,"2.14",
"1742240420.561","0",,,
"1742240420.563",,"0",,
"1742240420.565",,,"2.14",
"1742240420.566","0",,,
"1742240420.568",,"0",,
"1742240420.57",,,"2.15",
"1742240420.571","0",,,
"1742240420.573",,"0",,
"1742240420.575",,,"2.15",
"1742240420.576","0",,,
"1742240420.578",,"0",,
"1742240420.58",,,"2.15",
"1742240420.582","0",,,
"1742240420.583",,"0",,
"1742240420.585",,,"2.15",
"1742240420.586","0",,,
"1742240420.588",,"0",,
"1742240420.589",,,"2.16",
"1742240420.591","0",,,
"1742240420.593",,"0",,
"1742240420.594",,,"2.14",
"1742240420.596","0",,,
"1742240420.598",,"0",,
"1742240420.6",,,"2.16",
"1742240420.601","0",,,
"1742240420.603",,"0",,
"1742240420.605",,,"2.15",
"1742240420.606","0",,,
"1742240420.608",,"0",,
"1742240420.61",,,"2.14",
"1742240420.611","0",,,
"1742240420.613",,"0",,
"1742240420.615",,,"2.16",
"1742240420.616","0",,,
"1742240420.618",,"0",,
"1742240420.62",,,"2.16",
"1742240420.621","0",,,
"1742240420.623",,"0",,
"1742240420.625",,,"2.16",
"1742240420.626","0",,,
"1742240420.628",,"0",,
"1742240420.63",,,"2.17",
"1742240420.631","0",,,
"1742240420.633",,"0",,
"1742240420.635",,,"2.16",
"1742240420.637","0",,,
"1742240420.638",,"0",,
"1742240420.64",,,"2.16",
"1742240420.642","0",,,
"1742240420.643",,"0",,
"1742240420.645",,,"2.17",
"1742240420.647","0",,,
"1742240420.649",,"0",,
"1742240420.65",,,"2.16",
"1742240420.652","0",,,
"1742240420.654",,"0",,
"1742240420.655",,,"2.15",
"1742240420.657","0",,,
"1742240420.659",,"0",,
"1742240420.661",,,"2.16",
"1742240420.662","0",,,
"1742240420.664",,"0",,
"1742240420.666",,,"2.16",
"1742240420.667","0",,,
"1742240420.669",,"0",,
"1742240420.67",,,"2.16",
"1742240420.672","0",,,
"1742240420.673",,"0",,
"1742240420.675",,,"2.16",
"1742240420.676","0",,,
"1742240420.678",,"0",,
"1742240420.68",,,"2.17",
"1742240420.681","0",,,
"1742240420.683",,"0",,
"1742240420.685",,,"2.16",
"1742240420.686","0",,,
"1742240420.688",,"0",,
"1742240420.69",,,"2.17",
"1742240420.691","0",,,
"1742240420.693",,"0",,
"1742240420.695",,,"2.17",
"1742240420.697","0",,,
"1742240420.698",,"0",,
"1742240420.7",,,"2.17",
"1742240420.702","0",,,
"1742240420.703",,"0",,
"1742240420.705",,,"2.17",
"1742240420.707","0",,,
"1742240420.709",,"0",,
"1742240420.71",,,"2.16",
"1742240420.711","0",,,
"1742240420.713",,"0",,
"1742240420.715",,,"2.16",
"1742240420.716","0",,,
"1742240420.718",,"0",,
"1742240420.72",,,"2.17",
"1742240420.721","0",,,
"1742240420.723",,"0",,
"1742240420.725",,,"2.16",
"1742240420.726","0",,,
"1742240420.728",,"0",,
"1742240420.73",,,"2.17",
"1742240420.731","0",,,
"1742240420.733",,"0",,
"1742240420.735",,,"2.16",
"1742240420.736","0",,,
"1742240420.738",,"0",,
"1742240420.74",,,"2.17",
"1742240420.741","0",,,
"1742240420.743",,"0",,
"1742240420.745",,,"2.17",
"1742240420.747","0",,,
"1742240420.748",,"0",,
"1742240420.75",,,"2.16",
"1742240420.752","0",,,
"1742240420.753",,"0",,
"1742240420.755",,,"2.17",
"1742240420.756","0",,,
"1742240420.758",,"0",,
"1742240420.759",,,"2.17",
"1742240420.761","0",,,
"1742240420.763",,"0",,
"1742240420.765",,,"2.17",
"1742240420.766","0",,,
"1742240420.768",,"0",,
"1742240420.77",,,"2.17",
"1742240420.771","0",,,
"1742240420.773",,"0",,
"1742240420.775",,,"2.17",
"1742240420.776","0",,,
"1742240420.778",,"0",,
"1742240420.78",,,"2.16",
"1742240420.781","0",,,
"1742240420.783",,"0",,
"1742240420.785",,,"2.17",
"1742240420.786","0",,,
"1742240420.788",,"0",,
"1742240420.79",,,"2.17",
"1742240420.791","0",,,
"1742240420.793",,"0",,
"1742240420.794",,,"2.17",
"1742240420.796","0",,,
"1742240420.798",,"0",,
"1742240420.799",,,"2.16",
"1742240420.8","0",,,
"1742240420.802",,"0",,
"1742240420.804",,,"2.17",
"1742240420.805","0",,,
"1742240420.807",,"0",,
"1742240420.809",,,"2.17",
"1742240420.811","0",,,
"1742240420.812",,"0",,
"1742240420.814",,,"2.17",
"1742240420.816","0",,,
"1742240420.818",,"0",,
"1742240420.819",,,"2.17",
"1742240420.821","0",,,
"1742240420.823",,"0",,
"1742240420.824",,,"2.17",
"1742240420.826","0",,,
"1742240420.828",,"0",,
"1742240420.83",,,"2.17",
"1742240420.831","0",,,
"1742240420.833",,"0",,
"1742240420.835",,,"2.17",
"1742240420.836","0",,,
"1742240420.838",,"0",,
"1742240420.839",,,"2.17",
"1742240420.841","0",,,
"1742240420.842",,"0",,
"1742240420.844",,,"2.17",
"1742240420.845","0",,,
"1742240420.847",,"0",,
"1742240420.849",,,"2.17",
"1742240420.85","0",,,
"1742240420.852",,"0",,
"1742240420.854",,,"2.16",
"1742240420.855","0",,,
"1742240420.857",,"0",,
"1742240420.859",,,"2.17",
"1742240420.86","0",,,
"1742240420.862",,"0",,
"1742240420.864",,,"2.17",
"1742240420.866","0",,,
"1742240420.867",,"0",,
"1742240420.869",,,"2.16",
"1742240420.871","0",,,
"1742240420.872",,"0",,
"1742240420.874",,,"2.17",
