timestamp(ms),Detected_R_wave,Pace,ECG_amp,ECG_comp,
"1742502895.662","0",,,,
"1742502895.663",,"0",,,
"1742502895.665",,,"2.26",,
"1742502895.666",,,,"0",
"1742502895.668","0",,,,
"1742502895.669",,"0",,,
"1742502895.67",,,"2.26",,
"1742502895.671",,,,"0",
"1742502895.673","0",,,,
"1742502895.674",,"0",,,
"1742502895.675",,,"2.27",,
"1742502895.676",,,,"0",
"1742502895.678","0",,,,
"1742502895.679",,"0",,,
"1742502895.68",,,"2.29",,
"1742502895.682",,,,"0",
"1742502895.683","0",,,,
"1742502895.684",,"0",,,
"1742502895.685",,,"2.29",,
"1742502895.687",,,,"0",
"1742502895.688","0",,,,
"1742502895.689",,"0",,,
"1742502895.69",,,"2.3",,
"1742502895.692",,,,"0",
"1742502895.694","0","0",,,
"1742502895.696",,,"2.32",,
"1742502895.697",,,,"0",
"1742502895.699","0",,,,
"1742502895.7",,"0",,,
"1742502895.701",,,"2.33",,
"1742502895.702",,,,"0",
"1742502895.704","0",,,,
"1742502895.705",,"0",,,
"1742502895.706",,,"2.34",,
"1742502895.707",,,,"0",
"1742502895.709","0",,,,
"1742502895.71",,"0",,,
"1742502895.711",,,"2.35",,
"1742502895.713",,,,"0",
"1742502895.714","0",,,,
"1742502895.715",,"0",,,
"1742502895.716",,,"2.35",,
"1742502895.718",,,,"0",
"1742502895.72","0","0",,,
"1742502895.722",,,"2.35",,
"1742502895.723",,,,"0",
"1742502895.725","0",,,,
"1742502895.726",,"0",,,
"1742502895.727",,,"2.35",,
"1742502895.728",,,,"0",
"1742502895.73","0",,,,
"1742502895.731",,"0",,,
"1742502895.732",,,"2.36",,
"1742502895.733",,,,"0",
"1742502895.735","0",,,,
"1742502895.736",,"0",,,
"1742502895.737",,,"2.34",,
"1742502895.739",,,,"0",
"1742502895.74","0",,,,
"1742502895.741",,"0",,,
"1742502895.743",,,"2.32",,
"1742502895.744",,,,"0",
"1742502895.746","0","0",,,
"1742502895.748",,,"2.31",,
"1742502895.749",,,,"0",
"1742502895.751","0","0",,,
"1742502895.753",,,"2.29",,
"1742502895.754",,,,"0",
"1742502895.756","0",,,,
"1742502895.757",,"0",,,
"1742502895.758",,,"2.28",,
"1742502895.759",,,,"0",
"1742502895.761","0",,,,
"1742502895.762",,"0",,,
"1742502895.763",,,"2.27",,
"1742502895.765",,,,"0",
"1742502895.766","0",,,,
"1742502895.767",,"0",,,
"1742502895.768",,,"2.26",,
"1742502895.77",,,,"0",
"1742502895.771","0",,,,
"1742502895.772",,"0",,,
"1742502895.774",,,"2.25",,
"1742502895.775",,,,"0",
"1742502895.777","0","0",,,
"1742502895.779",,,"2.24",,
"1742502895.78",,,,"0",
"1742502895.782","0",,,,
"1742502895.783",,"0",,,
"1742502895.784",,,"2.24",,
"1742502895.785",,,,"0",
"1742502895.787","0",,,,
"1742502895.788",,"0",,,
"1742502895.789",,,"2.23",,
"1742502895.791",,,,"0",
"1742502895.792","0",,,,
"1742502895.793",,"0",,,
"1742502895.794",,,"2.23",,
"1742502895.796",,,,"0",
"1742502895.797","0",,,,
"1742502895.798",,"0",,,
"1742502895.8",,,"2.23",,
"1742502895.801",,,,"0",
"1742502895.803","0",,,,
"1742502895.804",,"0",,,
"1742502895.805",,,"2.22",,
"1742502895.806",,,,"0",
"1742502895.808","0",,,,
"1742502895.809",,"0",,,
"1742502895.81",,,"2.21",,
"1742502895.811",,,,"0",
"1742502895.813","0",,,,
"1742502895.814",,"0",,,
"1742502895.815",,,"2.22",,
"1742502895.817",,,,"0",
"1742502895.818","0",,,,
"1742502895.819",,"0",,,
"1742502895.82",,,"2.23",,
"1742502895.822",,,,"0",
"1742502895.824","0","0",,,
"1742502895.826",,,"2.22",,
"1742502895.827",,,,"0",
"1742502895.829","0","0",,,
"1742502895.831",,,"2.23",,
"1742502895.832",,,,"0",
"1742502895.834","0","0",,,
"1742502895.836",,,"2.22",,
"1742502895.837",,,,"0",
"1742502895.839","0",,,,
"1742502895.84",,"0",,,
"1742502895.841",,,"2.19",,
"1742502895.842",,,,"0",
"1742502895.844","0",,,,
"1742502895.845",,"0",,,
"1742502895.846",,,"2.15",,
"1742502895.848",,,,"0",
"1742502895.849","0",,,,
"1742502895.85",,"0",,,
"1742502895.851",,,"2.13",,
"1742502895.853",,,,"0",
"1742502895.855","0","0",,,
"1742502895.857",,,"2.2",,
"1742502895.858",,,,"0",
"1742502895.86","0",,,,
"1742502895.861",,"0",,,
"1742502895.862",,,"2.4",,
"1742502895.863",,,,"0",
"1742502895.865","0",,,,
"1742502895.866",,"0",,,
"1742502895.867",,,"2.67",,
"1742502895.868",,,,"0",
"1742502895.87","0",,,,
"1742502895.871",,"0",,,
"1742502895.872",,,"2.93",,
"1742502895.874",,,,"5",
"1742502895.876","1",,,,
"1742502895.879",,"0",,,
"1742502895.88",,"1",,,
"1742502895.882",,,"2.69",,
"1742502895.883",,,,"0",
"1742502895.885","0",,,,
"1742502895.886",,"0",,,
"1742502895.887",,,"2.37",,
"1742502895.888",,,,"0",
"1742502895.89","0",,,,
"1742502895.891",,"0",,,
"1742502895.892",,,"2.16",,
"1742502895.894",,,,"0",
"1742502895.895","0",,,,
"1742502895.896",,"0",,,
"1742502895.897",,,"2.05",,
"1742502895.899",,,,"0",
"1742502895.901","0","0",,,
"1742502895.903",,,"2.01",,
"1742502895.904",,,,"0",
"1742502895.906","0","0",,,
"1742502895.908",,,"2.01",,
"1742502895.909",,,,"0",
"1742502895.911","0",,,,
"1742502895.912",,"0",,,
"1742502895.913",,,"2.05",,
"1742502895.915",,,,"0",
"1742502895.916","0",,,,
"1742502895.917",,"0",,,
"1742502895.918",,,"2.1",,
"1742502895.919",,,,"0",
"1742502895.921","0",,,,
"1742502895.922",,"0",,,
"1742502895.923",,,"2.14",,
"1742502895.925",,,,"0",
"1742502895.927","0","0",,,
"1742502895.929",,,"2.17",,
"1742502895.93",,,,"0",
"1742502895.932","0",,,,
"1742502895.933",,"0",,,
"1742502895.934",,,"2.18",,
"1742502895.935",,,,"0",
"1742502895.937","0",,,,
"1742502895.938",,"0",,,
"1742502895.939",,,"2.18",,
"1742502895.94",,,,"0",
"1742502895.942","0",,,,
"1742502895.943",,"0",,,
"1742502895.944",,,"2.18",,
"1742502895.946",,,,"0",
"1742502895.947","0",,,,
"1742502895.948",,"0",,,
"1742502895.949",,,"2.19",,
"1742502895.951",,,,"0",
"1742502895.952","0",,,,
"1742502895.953",,"0",,,
"1742502895.955",,,"2.2",,
"1742502895.956",,,,"0",
"1742502895.958","0",,,,
"1742502895.959",,"0",,,
"1742502895.96",,,"2.2",,
"1742502895.961",,,,"0",
"1742502895.963","0",,,,
"1742502895.964",,"0",,,
"1742502895.965",,,"2.21",,
"1742502895.966",,,,"0",
"1742502895.968","0",,,,
"1742502895.969",,"0",,,
"1742502895.97",,,"2.21",,
"1742502895.972",,,,"0",
"1742502895.973","0",,,,
"1742502895.974",,"0",,,
"1742502895.975",,,"2.22",,
"1742502895.977",,,,"0",
"1742502895.978","0",,,,
"1742502895.979",,"0",,,
"1742502895.98",,,"2.22",,
"1742502895.982",,,,"0",
"1742502895.984","0","0",,,
"1742502895.986",,,"2.23",,
"1742502895.987",,,,"0",
"1742502895.989","0",,,,
"1742502895.99",,"0",,,
"1742502895.991",,,"2.24",,
"1742502895.992",,,,"0",
"1742502895.994","0",,,,
"1742502895.995",,"0",,,
"1742502895.996",,,"2.25",,
"1742502895.998",,,,"0",
"1742502895.999","0",,,,
"1742502896",,"0",,,
"1742502896.001",,,"2.26",,
"1742502896.003",,,,"0",
"1742502896.004","0",,,,
"1742502896.005",,"0",,,
"1742502896.006",,,"2.27",,
"1742502896.008",,,,"0",
"1742502896.01","0","0",,,
"1742502896.012",,,"2.29",,
"1742502896.013",,,,"0",
"1742502896.015","0","0",,,
"1742502896.017",,,"2.3",,
"1742502896.018",,,,"0",
"1742502896.02","0",,,,
"1742502896.021",,"0",,,
"1742502896.022",,,"2.31",,
"1742502896.023",,,,"0",
"1742502896.025","0",,,,
"1742502896.026",,"0",,,
"1742502896.027",,,"2.32",,
"1742502896.029",,,,"0",
"1742502896.03","0",,,,
"1742502896.031",,"0",,,
"1742502896.032",,,"2.34",,
"1742502896.034",,,,"0",
"1742502896.036","0","0",,,
"1742502896.038",,,"2.35",,
"1742502896.039",,,,"0",
"1742502896.041","0","0",,,
"1742502896.043",,,"2.36",,
"1742502896.044",,,,"0",
"1742502896.046","0",,,,
"1742502896.047",,"0",,,
"1742502896.048",,,"2.39",,
"1742502896.049",,,,"0",
"1742502896.051","0",,,,
"1742502896.052",,"0",,,
"1742502896.053",,,"2.39",,
"1742502896.055",,,,"0",
"1742502896.056","0",,,,
"1742502896.057",,"0",,,
"1742502896.058",,,"2.4",,
"1742502896.06",,,,"0",
"1742502896.061","0",,,,
"1742502896.062",,"0",,,
"1742502896.064",,,"2.42",,
"1742502896.065",,,,"0",
"1742502896.067","0","0",,,
"1742502896.069",,,"2.43",,
"1742502896.07",,,,"0",
"1742502896.072","0",,,,
"1742502896.073",,"0",,,
"1742502896.074",,,"2.44",,
"1742502896.075",,,,"0",
"1742502896.077","0",,,,
"1742502896.078",,"0",,,
"1742502896.079",,,"2.44",,
"1742502896.081",,,,"0",
"1742502896.082","0",,,,
"1742502896.083",,"0",,,
"1742502896.084",,,"2.45",,
"1742502896.086",,,,"0",
"1742502896.088","0","0",,,
"1742502896.089",,,"2.45",,
"1742502896.091",,,,"0",
"1742502896.093","0",,,,
"1742502896.094",,"0",,,
"1742502896.095",,,"2.43",,
"1742502896.096",,,,"0",
"1742502896.098","0",,,,
"1742502896.099",,"0",,,
"1742502896.1",,,"2.42",,
"1742502896.101",,,,"0",
"1742502896.103","0",,,,
"1742502896.104",,"0",,,
"1742502896.105",,,"2.41",,
"1742502896.106",,,,"0",
"1742502896.108","0",,,,
"1742502896.109",,"0",,,
"1742502896.11",,,"2.39",,
"1742502896.112",,,,"0",
"1742502896.114","0","0",,,
"1742502896.116",,,"2.36",,
"1742502896.117",,,,"0",
"1742502896.119","0","0",,,
"1742502896.121",,,"2.33",,
"1742502896.122",,,,"0",
"1742502896.124","0",,,,
"1742502896.125",,"0",,,
"1742502896.126",,,"2.3",,
"1742502896.127",,,,"0",
"1742502896.129","0",,,,
"1742502896.13",,"0",,,
"1742502896.131",,,"2.27",,
"1742502896.133",,,,"0",
"1742502896.134","0",,,,
"1742502896.135",,"0",,,
"1742502896.136",,,"2.24",,
"1742502896.138",,,,"0",
"1742502896.14","0","0",,,
"1742502896.142",,,"2.21",,
"1742502896.143",,,,"0",
"1742502896.145","0","0",,,
"1742502896.147",,,"2.19",,
"1742502896.148",,,,"0",
"1742502896.15","0",,,,
"1742502896.151",,"0",,,
"1742502896.152",,,"2.17",,
"1742502896.153",,,,"0",
"1742502896.155","0",,,,
"1742502896.156",,"0",,,
"1742502896.157",,,"2.15",,
"1742502896.158",,,,"0",
"1742502896.16","0",,,,
"1742502896.161",,"0",,,
"1742502896.162",,,"2.13",,
"1742502896.164",,,,"0",
"1742502896.166","0","0",,,
"1742502896.168",,,"2.11",,
"1742502896.169",,,,"0",
"1742502896.171","0","0",,,
"1742502896.173",,,"2.1",,
"1742502896.174",,,,"0",
"1742502896.176","0",,,,
"1742502896.177",,"0",,,
"1742502896.178",,,"2.09",,
"1742502896.179",,,,"0",
"1742502896.181","0",,,,
"1742502896.182",,"0",,,
"1742502896.183",,,"2.09",,
"1742502896.184",,,,"0",
"1742502896.186","0",,,,
"1742502896.187",,"0",,,
"1742502896.188",,,"2.08",,
"1742502896.19",,,,"0",
"1742502896.191","0",,,,
"1742502896.192",,"0",,,
"1742502896.193",,,"2.08",,
"1742502896.195",,,,"0",
"1742502896.197","0",,,,
"1742502896.198",,"0",,,
"1742502896.199",,,"2.08",,
"1742502896.2",,,,"0",
"1742502896.202","0",,,,
"1742502896.203",,"0",,,
"1742502896.204",,,"2.07",,
"1742502896.205",,,,"0",
"1742502896.207","0",,,,
"1742502896.208",,"0",,,
"1742502896.209",,,"2.07",,
"1742502896.21",,,,"0",
"1742502896.212","0",,,,
"1742502896.213",,"0",,,
"1742502896.214",,,"2.08",,
"1742502896.216",,,,"0",
"1742502896.217","0",,,,
"1742502896.218",,"0",,,
"1742502896.219",,,"2.08",,
"1742502896.221",,,,"0",
"1742502896.223","0","0",,,
"1742502896.225",,,"2.08",,
"1742502896.226",,,,"0",
"1742502896.228","0",,,,
"1742502896.229",,"0",,,
"1742502896.23",,,"2.08",,
"1742502896.231",,,,"0",
"1742502896.233","0",,,,
"1742502896.234",,"0",,,
"1742502896.235",,,"2.09",,
"1742502896.236",,,,"0",
"1742502896.242","0","0","2.09","0",
"1742502896.243","0",,,,
"1742502896.244",,"0",,,
"1742502896.245",,,"2.09",,
"1742502896.248",,,,"0",
"1742502896.25","0","0",,,
"1742502896.251",,,"2.1",,
"1742502896.252",,,,"0",
"1742502896.254","0",,,,
"1742502896.257",,"0","2.1",,
"1742502896.258",,,,"0",
"1742502896.259","0",,,,
