timestamp(ms),ECG_comp,Detected_R_wave,Pace,ECG_amp,
"1742503229.699","0",,,,
"1742503229.701",,"0",,,
"1742503229.702",,,"0",,
"1742503229.703",,,,"2.22",
"1742503229.705","0",,,,
"1742503229.706",,"0",,,
"1742503229.707",,,"0",,
"1742503229.708",,,,"2.23",
"1742503229.71","0",,,,
"1742503229.711",,"0",,,
"1742503229.712",,,"0",,
"1742503229.713",,,,"2.23",
"1742503229.715","0",,,,
"1742503229.716",,"0",,,
"1742503229.717",,,"0",,
"1742503229.719",,,,"2.24",
"1742503229.72","0",,,,
"1742503229.722",,"0",,,
"1742503229.723",,,"0",,
"1742503229.724",,,,"2.25",
"1742503229.725","0",,,,
"1742503229.727",,"0",,,
"1742503229.728",,,"0",,
"1742503229.729",,,,"2.26",
"1742503229.73","0",,,,
"1742503229.732",,"0",,,
"1742503229.733",,,"0",,
"1742503229.734",,,,"2.27",
"1742503229.736","0",,,,
"1742503229.737",,"0",,,
"1742503229.738",,,"0",,
"1742503229.739",,,,"2.27",
"1742503229.741","0",,,,
"1742503229.743",,"0","0",,
"1742503229.745",,,,"2.28",
"1742503229.746","0",,,,
"1742503229.748",,"0",,,
"1742503229.749",,,"0",,
"1742503229.75",,,,"2.3",
"1742503229.751","0",,,,
"1742503229.753",,"0",,,
"1742503229.754",,,"0",,
"1742503229.755",,,,"2.31",
"1742503229.756","0",,,,
"1742503229.758",,"0",,,
"1742503229.759",,,"0",,
"1742503229.76",,,,"2.32",
"1742503229.762","0",,,,
"1742503229.763",,"0",,,
"1742503229.764",,,"0",,
"1742503229.765",,,,"2.33",
"1742503229.767","0",,,,
"1742503229.768",,"0",,,
"1742503229.769",,,"0",,
"1742503229.77",,,,"2.35",
"1742503229.772","0",,,,
"1742503229.774",,"0",,,
"1742503229.775",,,"0",,
"1742503229.776",,,,"2.36",
"1742503229.777","0",,,,
"1742503229.779",,"0",,,
"1742503229.78",,,"0",,
"1742503229.781",,,,"2.38",
"1742503229.782","0",,,,
"1742503229.784",,"0",,,
"1742503229.785",,,"0",,
"1742503229.786",,,,"2.39",
"1742503229.787","0",,,,
"1742503229.789",,"0",,,
"1742503229.79",,,"0",,
"1742503229.791",,,,"2.4",
"1742503229.793","0",,,,
"1742503229.795",,"0","0",,
"1742503229.796",,,,"2.42",
"1742503229.798","0",,,,
"1742503229.8",,"0","0",,
"1742503229.802",,,,"2.43",
"1742503229.803","0",,,,
"1742503229.805",,"0",,,
"1742503229.806",,,"0",,
"1742503229.807",,,,"2.43",
"1742503229.808","0",,,,
